name,location,price,rating
NOUVEAU - RENOVE - LE PASSAGE - Home-One,Besançon,€ 511,6
ibis budget Besançon Centre Gare,Besançon,€ 693,7
"Le Carnot, à deux pas du centre ville",Besançon,€ 514,7
Zelda,"Besancon Old Town, Besançon",€ 543,7
Accueil Hotel Besançon,Besançon,€ 513,6
Premiere Classe Besancon Ecole Valentin,Besançon,€ 618,6
Contact Hôtel Foch,Besançon,€ 855,7
Appartement 4prsn / Au pied de la Citadelle,"Besancon Old Town, Besançon",€ 708,7
ibis Besançon Centre Ville,"Besancon Old Town, Besançon",€ 988,8
All Suites Besançon,Besançon,€ 728,7
Zenitude Hôtel-Résidences Les Hauts Du Chazal,Besançon,€ 807,7
ibis Besançon Centre la City,Besançon,€ 925,7
Le Viotte - Unique ! 3 logements disponibles,Besançon,€ 631,8
Le Voyageur,Besançon,€ 674,7
Logis Hôtel Victor Hugo & Spa,Besançon,€ 1 589,8
Hotel Régina,"Besancon Old Town, Besançon",€ 903,7
ibis Styles Besançon,Besançon,€ 1 202,7
Hotel Campanile Besançon Nord Ecole Valentin,Besançon,€ 910,7
"Le gite ""Detroit studette"" Besançon confort et simplicité",Besançon,€ 448,8
B&B HOTEL Besançon Valentin,Besançon,€ 1 168,8
Hôtel Fontaine Argent - Centre Ville,Besançon,€ 1 145,8
"Studio rénové avec patio, coeur du centre ville","Besancon Old Town, Besançon",€ 662,6
Hotel Du Nord,"Besancon Old Town, Besançon",€ 1 095,8
"Le Klein, Studio au calme au centre de Besançon",Besançon,€ 578,7
"ChicEthnik! Maison de ville, 3 chambres, 6 places.",Besançon,€ 1 146,8
